camera_id,district,department,nearest_station,camera_type,vendor,ownership,latitude,longitude,storage_type,retention_days,install_year,connectivity_status,is_synthetic
CAM00075,Ahmedabad City,Home Department - Police,Meghaninagar,IP Bullet,Bosch,Government,23.058377,72.617896,Cloud,30,2019,Active,TRUE
CAM00076,Ahmedabad City,Home Department - Police,Meghaninagar,IP Bullet,Honeywell,Government,23.057703,72.617239,Cloud,7,2021,Active,TRUE
CAM00077,Ahmedabad City,Home Department - Police,Naranpura,IP PTZ,Bosch,Government,23.063557,72.566974,Cloud,7,2025,Offline,TRUE
CAM00078,Ahmedabad City,Home Department - Police,Naranpura,Analog PTZ,Honeywell,Government,23.063758,72.566431,Cloud,30,2017,Active,TRUE
CAM00079,Ahmedabad City,Home Department - Police,Naroda,Analog Dome,Dahua,Government,23.078386,72.656657,Cloud,15,2017,Maintenance,TRUE
CAM00080,Ahmedabad City,Home Department - Police,Naroda,IP Bullet,Bosch,Government,23.077617,72.657195,Cloud,30,2023,Offline,TRUE
CAM00081,Ahmedabad City,Home Department - Police,Naroda,IP PTZ,Bosch,Government,23.079165,72.655952,Local NVR,30,2024,Offline,TRUE
CAM00082,Ahmedabad City,Home Department - Police,Navrangpura,Analog PTZ,Bosch,Government,23.034634,72.566789,Cloud,15,2017,Offline,TRUE
CAM00083,Ahmedabad City,Home Department - Police,Navrangpura,IP PTZ,Dahua,Government,23.035153,72.567029,Cloud,15,2016,Active,TRUE
CAM00084,Ahmedabad City,Home Department - Police,Navrangpura,Analog Dome,Dahua,Government,23.034693,72.566812,Cloud,30,2020,Active,TRUE
CAM00085,Ahmedabad City,Home Department - Police,Nikol,IP Bullet,Bosch,Government,23.043697,72.676954,Local NVR,15,2024,Active,TRUE
CAM00086,Ahmedabad City,Home Department - Police,Nikol,Analog PTZ,Honeywell,Government,23.04343,72.676621,Local NVR,15,2019,Offline,TRUE
CAM00087,Ahmedabad City,Home Department - Police,Odhav,Analog PTZ,Dahua,Government,23.026004,72.674754,Local NVR,15,2024,Active,TRUE
CAM00088,Ahmedabad City,Home Department - Police,Odhav,Analog PTZ,Hikvision,Government,23.025838,72.673177,Cloud,7,2019,Active,TRUE
CAM00089,Ahmedabad City,Home Department - Police,Odhav,Analog Dome,Honeywell,Government,23.026714,72.673458,Local NVR,7,2025,Active,TRUE
CAM00090,Ahmedabad City,Home Department - Police,Odhav,IP Dome,Honeywell,Government,23.025918,72.67361,Cloud,15,2020,Active,TRUE
CAM00091,Ahmedabad City,Home Department - Police,Paldi,IP PTZ,Hikvision,Government,23.005253,72.552988,Cloud,30,2018,Active,TRUE
CAM00092,Ahmedabad City,Home Department - Police,Paldi,IP Dome,Dahua,Government,23.005102,72.552526,Local NVR,7,2018,Active,TRUE
CAM00093,Ahmedabad City,Home Department - Police,Rakhial,IP Bullet,CP Plus,Government,23.02159,72.623071,Local NVR,7,2016,Active,TRUE
CAM00094,Ahmedabad City,Home Department - Police,Rakhial,Analog Dome,Honeywell,Government,23.020918,72.623408,Cloud,30,2025,Maintenance,TRUE
CAM00095,Ahmedabad City,Home Department - Police,Rakhial,IP PTZ,Dahua,Government,23.021516,72.622829,Cloud,30,2025,Active,TRUE
CAM00096,Ahmedabad City,Home Department - Police,Ramol,IP Bullet,CP Plus,Government,22.989572,72.64189,Cloud,30,2017,Active,TRUE
CAM00097,Ahmedabad City,Home Department - Police,Ramol,IP PTZ,Dahua,Government,22.988728,72.642149,Cloud,7,2025,Active,TRUE
CAM00098,Ahmedabad City,Home Department - Police,Ranip,IP Bullet,Dahua,Government,23.080055,72.578575,Cloud,15,2017,Active,TRUE
CAM00099,Ahmedabad City,Home Department - Police,Ranip,IP Bullet,Hikvision,Government,23.080526,72.578194,Cloud,7,2020,Active,TRUE
CAM00100,Ahmedabad City,Home Department - Police,Ranip,IP PTZ,Hikvision,Government,23.080617,72.578512,Local NVR,30,2020,Active,TRUE
CAM00101,Ahmedabad City,Home Department - Police,Ranip,Analog Dome,Bosch,Government,23.080806,72.578725,Local NVR,7,2024,Offline,TRUE
CAM00102,Ahmedabad City,Home Department - Police,Sabarmati,Analog PTZ,Hikvision,Government,23.086075,72.592188,Cloud,7,2025,Offline,TRUE
CAM00103,Ahmedabad City,Home Department - Police,Sabarmati,Analog Dome,Hikvision,Government,23.085531,72.590903,Cloud,15,2020,Offline,TRUE
CAM00104,Ahmedabad City,Home Department - Police,Sardarnagar,IP PTZ,Bosch,Government,23.084194,72.636907,Cloud,15,2025,Active,TRUE
CAM00105,Ahmedabad City,Home Department - Police,Sardarnagar,IP Bullet,Dahua,Government,23.084133,72.636984,Local NVR,30,2017,Maintenance,TRUE
CAM00106,Ahmedabad City,Home Department - Police,Sardarnagar,IP Dome,Bosch,Government,23.083917,72.638107,Cloud,15,2024,Active,TRUE
CAM00107,Ahmedabad City,Home Department - Police,Sardarnagar,Analog Dome,Hikvision,Government,23.08398,72.638152,Local NVR,15,2022,Active,TRUE
CAM00108,Ahmedabad City,Home Department - Police,Satellite,IP PTZ,Hikvision,Government,23.027557,72.511238,Cloud,15,2023,Offline,TRUE
CAM00109,Ahmedabad City,Home Department - Police,Satellite,IP Dome,Hikvision,Government,23.02686,72.510635,Cloud,30,2023,Active,TRUE
CAM00110,Ahmedabad City,Home Department - Police,Shahibag,IP Bullet,Hikvision,Government,23.055085,72.593225,Local NVR,7,2017,Active,TRUE
CAM00111,Ahmedabad City,Home Department - Police,Shahibag,Analog PTZ,Bosch,Government,23.05499,72.593521,Local NVR,15,2024,Active,TRUE
CAM00112,Ahmedabad City,Home Department - Police,Shahibag,Analog Dome,Honeywell,Government,23.054915,72.592491,Cloud,7,2019,Active,TRUE
CAM00113,Ahmedabad City,Home Department - Police,Shahpur,IP Dome,Dahua,Government,23.03483,72.579937,Local NVR,30,2020,Offline,TRUE
CAM00114,Ahmedabad City,Home Department - Police,Shahpur,IP PTZ,Honeywell,Government,23.036016,72.5794,Local NVR,15,2018,Active,TRUE
CAM00115,Ahmedabad City,Home Department - Police,Shahpur,Analog PTZ,CP Plus,Government,23.035211,72.579497,Cloud,30,2023,Maintenance,TRUE
CAM00116,Ahmedabad City,Home Department - Police,Sherkotada,IP PTZ,Bosch,Government,23.032072,72.602621,Local NVR,30,2021,Active,TRUE
CAM00117,Ahmedabad City,Home Department - Police,Sherkotada,Analog Dome,Dahua,Government,23.031423,72.601949,Cloud,15,2024,Active,TRUE
CAM00118,Ahmedabad City,Home Department - Police,Sola High Court,IP PTZ,CP Plus,Government,23.088169,72.528725,Cloud,15,2018,Active,TRUE
CAM00119,Ahmedabad City,Home Department - Police,Sola High Court,Analog PTZ,Honeywell,Government,23.087139,72.529944,Local NVR,15,2017,Maintenance,TRUE
CAM00120,Ahmedabad City,Home Department - Police,Sola High Court,IP Bullet,Dahua,Government,23.0881,72.528762,Cloud,30,2017,Active,TRUE
CAM00121,Ahmedabad City,Home Department - Police,Sola High Court,IP PTZ,CP Plus,Government,23.087311,72.528874,Local NVR,7,2017,Active,TRUE
CAM00122,Ahmedabad City,Home Department - Police,Vadaj,IP PTZ,CP Plus,Government,23.063958,72.565829,Cloud,30,2021,Maintenance,TRUE
CAM00123,Ahmedabad City,Home Department - Police,Vadaj,IP Bullet,Hikvision,Government,23.063544,72.566728,Local NVR,30,2018,Active,TRUE
CAM00124,Ahmedabad City,Home Department - Police,Vadaj,IP PTZ,Dahua,Government,23.063421,72.566351,Local NVR,15,2019,Active,TRUE
CAM00125,Ahmedabad City,Home Department - Police,Vastrapur,IP Dome,Bosch,Government,23.049947,72.523783,Local NVR,30,2018,Active,TRUE
CAM00126,Ahmedabad City,Home Department - Police,Vastrapur,IP PTZ,Dahua,Government,23.049475,72.523327,Cloud,15,2020,Maintenance,TRUE
CAM00127,Ahmedabad City,Home Department - Police,Vastrapur,Analog Dome,Dahua,Government,23.048517,72.523249,Local NVR,7,2021,Maintenance,TRUE
CAM00128,Ahmedabad City,Home Department - Police,Vatva,Analog Dome,Bosch,Government,22.960209,72.618421,Local NVR,7,2016,Offline,TRUE
CAM00129,Ahmedabad City,Home Department - Police,Vatva,Analog Dome,Dahua,Government,22.961637,72.617258,Cloud,30,2019,Active,TRUE
CAM00130,Ahmedabad City,Home Department - Police,Vatva,IP PTZ,Hikvision,Government,22.96182,72.618027,Local NVR,30,2020,Active,TRUE
CAM00131,Ahmedabad City,Home Department - Police,Vatva GIDC,IP Bullet,CP Plus,Government,22.972126,72.627325,Cloud,30,2022,Active,TRUE
CAM00132,Ahmedabad City,Home Department - Police,Vatva GIDC,Analog PTZ,Bosch,Government,22.971445,72.628381,Local NVR,30,2018,Active,TRUE
CAM00133,Ahmedabad City,Home Department - Police,Vejalpur,IP PTZ,Honeywell,Government,22.996785,72.536253,Local NVR,7,2019,Maintenance,TRUE
CAM00134,Ahmedabad City,Home Department - Police,Vejalpur,Analog PTZ,Dahua,Government,22.995967,72.537083,Local NVR,30,2023,Active,TRUE
CAM00135,Ahmedabad City,Home Department - Police,Sarkhej,Analog Dome,Dahua,Government,22.987564,72.502814,Cloud,30,2025,Active,TRUE
CAM00136,Ahmedabad City,Home Department - Police,Sarkhej,IP PTZ,Hikvision,Government,22.987493,72.502801,Cloud,7,2020,Active,TRUE
CAM00137,Ahmedabad City,Home Department - Police,abarmati Riverfront Ea,Analog Dome,CP Plus,Government,23.055157,72.579289,Local NVR,15,2019,Active,TRUE
CAM00138,Ahmedabad City,Home Department - Police,abarmati Riverfront Ea,IP PTZ,Honeywell,Government,23.054571,72.580418,Cloud,15,2024,Active,TRUE
CAM00139,Ahmedabad City,Home Department - Police,abarmati Riverfront Ea,IP Dome,Dahua,Government,23.054865,72.580188,Cloud,15,2020,Maintenance,TRUE
CAM00140,Ahmedabad City a,Home Department - Police,barmati Riverfront We,Analog Dome,Dahua,Government,23.012236,72.570781,Cloud,15,2021,Active,TRUE
CAM00141,Ahmedabad City a,Home Department - Police,barmati Riverfront We,IP Dome,CP Plus,Government,23.011038,72.570822,Cloud,7,2023,Active,TRUE
CAM00142,Ahmedabad City,Home Department - Police,A-Traffic,IP Dome,Honeywell,Government,23.088291,72.530117,Cloud,30,2019,Active,TRUE
CAM00143,Ahmedabad City,Home Department - Police,A-Traffic,Analog Dome,Hikvision,Government,23.087974,72.529119,Local NVR,7,2018,Active,TRUE
CAM00144,Ahmedabad City,Home Department - Police,B-Traffic,IP Bullet,Hikvision,Government,23.031146,72.563194,Local NVR,7,2016,Offline,TRUE
CAM00145,Ahmedabad City,Home Department - Police,B-Traffic,IP Bullet,Bosch,Government,23.031278,72.563194,Cloud,30,2016,Active,TRUE
CAM00146,Ahmedabad City,Home Department - Police,B-Traffic,Analog Dome,Hikvision,Government,23.031552,72.56428,Local NVR,30,2024,Active,TRUE
CAM00147,Ahmedabad City,Home Department - Police,B-Traffic,Analog PTZ,Bosch,Government,23.032397,72.562958,Cloud,7,2024,Maintenance,TRUE
CAM00148,Ahmedabad City,Home Department - Police,C-Traffic,IP Dome,Hikvision,Government,23.027173,72.579124,Local NVR,30,2023,Active,TRUE
CAM00149,Ahmedabad City,Home Department - Police,C-Traffic,Analog Dome,Dahua,Government,23.026524,72.579425,Local NVR,30,2025,Offline,TRUE
CAM00150,Ahmedabad City,Home Department - Police,C-Traffic,IP Dome,Hikvision,Government,23.026937,72.57984,Cloud,15,2022,Maintenance,TRUE
CAM00151,Ahmedabad City,Home Department - Police,D-Traffic,IP PTZ,Hikvision,Government,23.020795,72.612939,Local NVR,15,2022,Active,TRUE
CAM00152,Ahmedabad City,Home Department - Police,D-Traffic,IP PTZ,Hikvision,Government,23.021247,72.612124,Cloud,7,2018,Active,TRUE
CAM00153,Ahmedabad City,Home Department - Police,E-Traffic,Analog Dome,Hikvision,Government,23.015478,72.580173,Local NVR,30,2018,Active,TRUE
CAM00154,Ahmedabad City,Home Department - Police,E-Traffic,IP Dome,Dahua,Government,23.016043,72.580415,Local NVR,15,2022,Active,TRUE
CAM00155,Ahmedabad City,Home Department - Police,E-Traffic,IP Bullet,Hikvision,Government,23.016344,72.579226,Local NVR,30,2023,Active,TRUE
CAM00156,Ahmedabad City,Home Department - Police,F-Traffic,Analog Dome,Honeywell,Government,23.055559,72.59328,Cloud,30,2022,Active,TRUE
CAM00157,Ahmedabad City,Home Department - Police,F-Traffic,Analog PTZ,Dahua,Government,23.054238,72.592739,Cloud,7,2020,Active,TRUE
CAM00158,Ahmedabad City,Home Department - Police,G-Traffic,IP Dome,Honeywell,Government,23.081759,72.631908,Cloud,15,2016,Maintenance,TRUE
CAM00159,Ahmedabad City,Home Department - Police,G-Traffic,Analog PTZ,Honeywell,Government,23.081393,72.632066,Cloud,7,2020,Active,TRUE
CAM00160,Ahmedabad City,Home Department - Police,G-Traffic,Analog PTZ,Bosch,Government,23.080859,72.632895,Local NVR,15,2017,Offline,TRUE
CAM00161,Ahmedabad City,Home Department - Police,G-Traffic,IP Dome,Dahua,Government,23.081372,72.632275,Local NVR,7,2024,Active,TRUE
CAM00162,Ahmedabad City,Home Department - Police,H-Traffic,IP Dome,CP Plus,Government,23.020281,72.632873,Local NVR,30,2020,Active,TRUE
CAM00163,Ahmedabad City,Home Department - Police,H-Traffic,IP Bullet,Dahua,Government,23.019074,72.63254,Local NVR,15,2019,Active,TRUE
CAM00164,Ahmedabad City,Home Department - Police,H-Traffic,IP Bullet,Bosch,Government,23.019074,72.633342,Cloud,30,2018,Offline,TRUE
CAM00165,Ahmedabad City,Home Department - Police,H-Traffic,IP PTZ,Hikvision,Government,23.02056,72.633448,Local NVR,7,2017,Maintenance,TRUE
CAM00166,Ahmedabad City,Home Department - Police,I-Traffic,IP PTZ,Bosch,Government,22.989955,72.640902,Local NVR,7,2025,Maintenance,TRUE
CAM00167,Ahmedabad City,Home Department - Police,I-Traffic,IP PTZ,Dahua,Government,22.988441,72.640451,Cloud,15,2025,Active,TRUE
CAM00168,Ahmedabad City,Home Department - Police,J-Traffic,IP PTZ,Dahua,Government,22.989187,72.640587,Local NVR,7,2017,Active,TRUE
CAM00169,Ahmedabad City,Home Department - Police,J-Traffic,Analog Dome,Honeywell,Government,22.989805,72.640003,Cloud,15,2017,Active,TRUE
CAM00170,Ahmedabad City,Home Department - Police,K-Traffic,IP Bullet,Hikvision,Government,22.99849,72.580044,Cloud,15,2018,Active,TRUE
CAM00171,Ahmedabad City,Home Department - Police,K-Traffic,IP Bullet,Bosch,Government,22.997077,72.579157,Local NVR,30,2017,Offline,TRUE
CAM00172,Ahmedabad City,Home Department - Police,K-Traffic,Analog Dome,Dahua,Government,22.997573,72.580545,Local NVR,7,2025,Maintenance,TRUE
CAM00173,Ahmedabad City,Home Department - Police,K-Traffic,Analog PTZ,Honeywell,Government,22.996888,72.579678,Cloud,15,2020,Offline,TRUE
CAM00174,Ahmedabad City,Home Department - Police,L-Traffic,Analog PTZ,Dahua,Government,23.066126,72.582328,Cloud,30,2016,Active,TRUE
CAM00175,Ahmedabad City,Home Department - Police,L-Traffic,Analog Dome,Honeywell,Government,23.066674,72.582428,Cloud,15,2023,Offline,TRUE
CAM00176,Ahmedabad City,Home Department - Police,M-Traffic,IP Bullet,Hikvision,Government,22.98663,72.503159,Local NVR,7,2024,Active,TRUE
CAM00177,Ahmedabad City,Home Department - Police,M-Traffic,IP Dome,CP Plus,Government,22.988059,72.502222,Local NVR,15,2018,Offline,TRUE
CAM00178,Ahmedabad City,Home Department - Police,M-Traffic,Analog PTZ,Bosch,Government,22.987232,72.502356,Local NVR,15,2021,Offline,TRUE
CAM00179,Ahmedabad City,Home Department - Police,M-Traffic,IP Dome,Dahua,Government,22.986385,72.503206,Cloud,30,2021,Maintenance,TRUE
CAM00180,Ahmedabad City,Home Department - Police,N-Traffic,IP Bullet,Dahua,Government,23.027085,72.511647,Cloud,30,2025,Active,TRUE
CAM00181,Ahmedabad City,Home Department - Police,N-Traffic,IP Bullet,Honeywell,Government,23.028281,72.510672,Cloud,15,2022,Offline,TRUE
CAM00182,Ahmedabad City,Home Department - Police,N-Traffic,Analog Dome,Hikvision,Government,23.027309,72.511539,Local NVR,30,2018,Active,TRUE
CAM00183,Ahmedabad City,Home Department - Police,Narol,Analog PTZ,Bosch,Government,22.959814,72.590466,Cloud,7,2019,Active,TRUE
CAM00184,Ahmedabad City,Home Department - Police,Narol,Analog Dome,Honeywell,Government,22.95944,72.590674,Cloud,30,2017,Active,TRUE
CAM00185,Ahmedabad City,Home Department - Police,Vasna,IP Bullet,Honeywell,Government,22.99856,72.545437,Cloud,30,2018,Maintenance,TRUE
CAM00186,Ahmedabad City,Home Department - Police,Vasna,IP PTZ,Honeywell,Government,22.998403,72.545415,Local NVR,30,2019,Maintenance,TRUE
